订单号,订单日期,订单时间,结算日期,网点,省份,城市,金额,数量,备注
ORD00000245,2025-01-31,2025/1/31 18:17,2025/2/10,网点C,河南省,洛阳市,278.51,57,备注信息4
ORD00000246,2024-12-23,2024/12/23 5:10,2025/1/2,网点C,河南省,洛阳市,770.07,55,备注信息5
ORD00000247,2024-03-23,2024/3/23 19:59,2024/4/2,网点D,河南省,洛阳市,566.98,9,备注信息6
ORD00000248,2024-06-01,2024/6/1 12:22,2024/6/11,网点A,河南省,洛阳市,564.02,94,备注信息7
ORD00000249,2024-08-31,2024/8/31 9:04,2024/9/10,网点D,河南省,洛阳市,174.55,89,备注信息8
ORD00000250,2024-02-15,2024/2/15 13:28,2024/2/25,网点C,河南省,洛阳市,288.34,16,备注信息9
ORD00000251,2025-02-18,2025/2/18 16:28,2025/2/28,网点A,河南省,洛阳市,526.12,55,备注信息0
ORD00000252,2024-05-15,2024/5/15 14:01,2024/5/25,网点D,河南省,洛阳市,284.41,72,备注信息1
ORD00000253,2024-11-22,2024/11/22 15:03,2024/12/2,网点D,河南省,洛阳市,218.18,58,备注信息2
ORD00000254,2024-02-24,2024/2/24 0:55,2024/3/5,网点C,河南省,洛阳市,96.88,64,备注信息3
ORD00000255,2024-06-10,2024/6/10 20:53,2024/6/20,网点A,河南省,洛阳市,164.17,92,备注信息4
ORD00000256,2024-12-13,2024/12/13 11:12,2024/12/23,网点C,河南省,洛阳市,771.18,76,备注信息5
ORD00000257,2025-02-19,2025/2/19 6:34,2025/3/1,网点A,河南省,洛阳市,721.59,88,备注信息6
ORD00000258,2024-06-01,2024/6/1 1:20,2024/6/11,网点E,河南省,洛阳市,55.38,49,备注信息7
ORD00000259,2024-11-06,2024/11/6 22:59,2024/11/16,网点B,河南省,洛阳市,211.25,29,备注信息8
ORD00000260,2024-03-06,2024/3/6 3:12,2024/3/16,网点B,河南省,洛阳市,564.85,79,备注信息9
ORD00000261,2025-04-27,2025/4/27 5:18,2025/5/7,网点B,河南省,洛阳市,329.4,82,备注信息0
ORD00000262,2024-02-18,2024/2/18 11:00,2024/2/28,网点C,河南省,洛阳市,825.02,7,备注信息1
ORD00000263,2024-07-22,2024/7/22 22:42,2024/8/1,网点E,河南省,洛阳市,787.14,77,备注信息2
ORD00000264,2024-11-05,2024/11/5 4:55,2024/11/15,网点A,河南省,洛阳市,892.66,83,备注信息3
ORD00000265,2025-03-26,2025/3/26 17:43,2025/4/5,网点D,河南省,洛阳市,567.3,69,备注信息4
ORD00000266,2024-01-01,2024/1/1 2:42,2024/1/11,网点A,河南省,洛阳市,358.56,90,备注信息5
ORD00000267,2024-04-27,2024/4/27 23:27,2024/5/7,网点D,河南省,洛阳市,610,2,备注信息6
ORD00000268,2024-02-10,2024/2/10 16:26,2024/2/20,网点A,河南省,洛阳市,98.25,33,备注信息7
ORD00000269,2024-01-11,2024/1/11 0:42,2024/1/21,网点E,河南省,洛阳市,19.49,48,备注信息8
ORD00000270,2024-05-29,2024/5/29 22:29,2024/6/8,网点D,河南省,洛阳市,26.92,37,备注信息9
ORD00000271,2024-07-11,2024/7/11 6:12,2024/7/21,网点C,河南省,洛阳市,413.47,89,备注信息0
ORD00000272,2024-02-13,2024/2/13 12:19,2024/2/23,网点A,河南省,洛阳市,235.8,89,备注信息1
ORD00000273,2025-02-20,2025/2/20 2:22,2025/3/2,网点A,河南省,洛阳市,165.76,30,备注信息2
ORD00000274,2024-01-21,2024/1/21 11:01,2024/1/31,网点D,河南省,洛阳市,619.17,41,备注信息3
ORD00000275,2024-04-26,2024/4/26 15:00,2024/5/6,网点C,河南省,洛阳市,995.14,4,备注信息4
ORD00000276,2024-07-24,2024/7/24 7:05,2024/8/3,网点C,河南省,洛阳市,185.98,83,备注信息5
ORD00000277,2024-07-11,2024/7/11 12:41,2024/7/21,网点E,河南省,洛阳市,550.96,91,备注信息6
ORD00000278,2025-01-20,2025/1/20 21:48,2025/1/30,网点C,河南省,洛阳市,128.53,39,备注信息7
ORD00000279,2025-01-05,2025/1/5 4:25,2025/1/15,网点C,河南省,洛阳市,934.89,24,备注信息8
ORD00000280,2024-11-11,2024/11/11 13:20,2024/11/21,网点C,河南省,洛阳市,298.84,50,备注信息9
ORD00000281,2024-07-09,2024/7/9 20:47,2024/7/19,网点B,河南省,洛阳市,879.56,37,备注信息0
ORD00000282,2024-09-09,2024/9/9 20:02,2024/9/19,网点E,河南省,洛阳市,290.25,53,备注信息1
ORD00000283,2024-11-14,2024/11/14 10:33,2024/11/24,网点A,河南省,洛阳市,807.99,25,备注信息2
ORD00000284,2024-07-18,2024/7/18 17:42,2024/7/28,网点D,河南省,洛阳市,217.29,93,备注信息3
ORD00000285,2025-02-16,2025/2/16 1:55,2025/2/26,网点A,河南省,洛阳市,299.86,31,备注信息4
ORD00000286,2024-08-11,2024/8/11 6:14,2024/8/21,网点E,河南省,洛阳市,200.55,99,备注信息5
ORD00000287,2024-10-10,2024/10/10 22:20,2024/10/20,网点D,河南省,洛阳市,271.62,92,备注信息6
ORD00000288,2024-01-15,2024/1/15 19:10,2024/1/25,网点E,河南省,洛阳市,836.52,38,备注信息7
ORD00000289,2024-03-15,2024/3/15 19:29,2024/3/25,网点C,河南省,洛阳市,642.64,58,备注信息8
ORD00000290,2024-09-08,2024/9/8 0:26,2024/9/18,网点D,河南省,洛阳市,411.82,53,备注信息9
ORD00000291,2024-05-28,2024/5/28 9:49,2024/6/7,网点C,河南省,洛阳市,971.81,50,备注信息0
ORD00000292,2024-01-25,2024/1/25 4:13,2024/2/4,网点A,河南省,洛阳市,470.21,4,备注信息1
ORD00000293,2024-05-01,2024/5/1 1:56,2024/5/11,网点A,河南省,洛阳市,970.06,92,备注信息2
ORD00000294,2024-09-14,2024/9/14 6:20,2024/9/24,网点D,河南省,洛阳市,204.62,52,备注信息3
ORD00000295,2024-05-01,2024/5/1 0:07,2024/5/11,网点D,河南省,洛阳市,905.59,31,备注信息4
ORD00000296,2024-07-15,2024/7/15 11:59,2024/7/25,网点E,河南省,洛阳市,23.68,87,备注信息5
ORD00000297,2024-11-17,2024/11/17 18:07,2024/11/27,网点E,河南省,洛阳市,549.85,78,备注信息6
ORD00000298,2024-07-20,2024/7/20 21:41,2024/7/30,网点C,河南省,洛阳市,428.82,92,备注信息7
ORD00000299,2025-02-04,2025/2/4 7:19,2025/2/14,网点D,河南省,洛阳市,529.84,14,备注信息8
ORD00000300,2024-11-24,2024/11/24 23:42,2024/12/4,网点A,河南省,洛阳市,557.91,1,备注信息9
